Time_Peltier_On_	T1	T2
37:40.3	-12.822	-12.969
37:40.5	-12.497	-12.67
37:40.7	-12.189	-12.371
37:40.9	-11.864	-12.031
37:41.1	-11.55	-11.743
37:41.3	-11.305	-11.505
37:41.5	-11.006	-11.197
37:41.7	-10.689	-10.903
37:41.9	-10.367	-10.584
37:42.1	-10.079	-10.305
37:42.3	-9.861	-10.08
37:42.5	-9.561	-9.775
37:42.7	-9.276	-9.483
37:42.9	-8.982	-9.222
37:43.1	-8.797	-9.009
37:43.3	-8.514	-8.732
37:43.5	-8.259	-8.468
37:43.7	-7.998	-8.224
37:43.9	-7.752	-7.952
37:44.1	-7.551	-7.791
37:44.3	-7.332	-7.547
37:44.5	-7.089	-7.292
37:44.7	-6.834	-7.057
37:44.9	-6.627	-6.841
37:45.1	-6.434	-6.632
37:45.3	-6.216	-6.425
37:45.5	-6.006	-6.209
37:45.7	-5.791	-5.994
37:45.9	-5.587	-5.799
37:46.1	-5.411	-5.606
37:46.3	-5.23	-5.413
37:46.5	-5.017	-5.203
37:46.7	-4.827	-5.002
37:46.9	-4.68	-4.873
37:47.1	-4.482	-4.658
37:47.3	-4.323	-4.488
37:47.5	-4.173	-4.34
37:47.7	-4	-4.162
37:47.9	-3.804	-3.983
37:48.1	-3.646	-3.788
37:48.3	-3.498	-3.683
37:48.5	-3.351	-3.519
37:48.7	-3.201	-3.343
37:48.9	-3.016	-3.181
37:49.1	-2.914	-3.074
37:49.3	-2.759	-2.907
37:49.5	-2.597	-2.765
37:49.7	-2.479	-2.606
37:49.9	-2.353	-2.511
37:50.1	-2.23	-2.362
37:50.3	-2.093	-2.208
37:50.5	-1.958	-2.113
37:50.7	-1.852	-1.984
37:50.9	-1.766	-1.89
37:51.1	-1.603	-1.753
37:51.3	-1.505	-1.649
37:51.5	-1.382	-1.526
37:51.7	-1.306	-1.45
37:51.9	-1.183	-1.321
37:52.1	-1.068	-1.206
37:52.3	-0.981	-1.111
37:52.5	-0.878	-1.013
37:52.7	-0.791	-0.943
37:52.9	-0.704	-0.827
37:53.1	-0.605	-0.745
37:53.3	-0.523	-0.639
37:53.5	-0.445	-0.572
37:53.7	-0.383	-0.474
37:53.9	-0.274	-0.412
37:54.1	-0.229	-0.342
37:54.3	-0.142	-0.278
37:54.5	-0.086	-0.21
37:54.7	-0.011	-0.146
37:54.9	0.045	-0.081
37:55.1	0.079	-0.051
37:55.3	0.132	0.003
37:55.5	0.169	0.073
37:55.7	0.227	0.101
37:55.9	0.278	0.134
37:56.1	0.298	0.176
37:56.3	0.334	0.202
37:56.5	0.37	0.252
37:56.7	0.424	0.297
37:56.9	0.429	0.316
37:57.1	0.477	0.349
37:57.3	0.505	0.363
37:57.5	0.513	0.402
37:57.7	0.564	0.424
37:57.9	0.586	0.466
37:58.1	0.603	0.469
37:58.3	0.653	0.52
37:58.5	0.679	0.545
37:58.7	0.698	0.548
37:58.9	0.715	0.609
37:59.1	0.757	0.598
37:59.3	0.793	0.651
37:59.5	0.835	0.646
37:59.7	0.844	0.693
37:59.9	0.869	0.691
38:00.1	0.886	0.713
38:00.3	0.922	0.752
38:00.5	0.925	0.763
38:00.7	0.962	0.78
38:00.9	0.998	0.828
38:01.1	1.008	0.846
38:01.3	1.041	0.868
38:01.5	1.092	0.888
38:01.7	1.092	0.902
38:01.9	1.125	0.936
38:02.1	1.145	0.933
38:02.3	1.151	0.958
38:02.5	1.184	0.986
38:02.7	1.218	1.009
38:02.9	1.243	1.034
38:03.1	1.257	1.056
38:03.3	1.285	1.076
38:03.5	1.299	1.095
38:03.7	1.316	1.107
38:03.9	1.344	1.154
38:04.1	1.358	1.146
38:04.3	1.408	1.154
38:04.5	1.394	1.205
38:04.7	1.406	1.207
38:04.9	1.436	1.233
38:05.1	1.459	1.235
38:05.3	1.504	1.269
38:05.5	1.526	1.278
38:05.7	1.523	1.3
38:05.9	1.554	1.314
38:06.1	1.579	1.336
38:06.3	1.619	1.356
38:06.5	1.596	1.376
38:06.7	1.619	1.39
38:06.9	1.658	1.418
38:07.1	1.661	1.429
38:07.3	1.677	1.437
38:07.5	1.7	1.454
38:07.7	1.711	1.479
38:07.9	1.742	1.507
38:08.1	1.753	1.524
38:08.3	1.775	1.535
38:08.5	1.798	1.547
38:08.7	1.829	1.563
38:08.9	1.851	1.575
38:09.1	1.851	1.603
38:09.3	1.868	1.619
38:09.5	1.89	1.633
